SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM400001,KIMBERLEY,STMSD,370053,7984262,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.22,127.77
PM400004,KIMBERLEY,STMSD,369928,7985070,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.21,127.77
PM400005,KIMBERLEY,STMSD,370217,7985310,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.21,127.77
PM400020,KIMBERLEY,STMSD,373399,7997213,0,AMG84-52,,0,-9999,-9999,50,-0.5,-10,-10,-9999,-10,-18.1,127.8
PM400022,KIMBERLEY,STMSD,373622,7997416,0,AMG84-52,,0,-9999,-9999,50,-0.5,-10,-10,-9999,-10,-18.1,127.8
PM400023,KIMBERLEY,STMSD,373167,7997667,0,AMG84-52,,0,-9999,-9999,75,-0.5,-10,-10,-9999,-10,-18.1,127.8
PM400024,KIMBERLEY,STMSD,373056,7999146,0,AMG84-52,,0,-9999,-9999,50,-0.5,-10,-10,-9999,-10,-18.09,127.8
PM400026,KIMBERLEY,STMSD,372785,8000806,0,AMG84-52,,0,-9999,-9999,40,-0.5,-10,-10,-9999,-10,-18.07,127.79
PM400028,KIMBERLEY,STMSD,373058,8001983,0,AMG84-52,,0,-9999,-9999,40,-0.5,-10,-10,-9999,-10,-18.06,127.8
PM400030,KIMBERLEY,STMSD,373424,8003757,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.04,127.8
PM400094,KIMBERLEY,STMSD,294668,7939803,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.62,127.05
PM400095,KIMBERLEY,STMSD,295871,7940375,0,AMG84-52,,0,-9999,-9999,-5,-0.5,-10,-10,-9999,-10,-18.61,127.06
PM400096,KIMBERLEY,STMSD,296420,7941269,0,AMG84-52,,0,-9999,-9999,-5,-0.5,-10,-10,-9999,-10,-18.6,127.07
PM400097,KIMBERLEY,STMSD,296866,7942544,0,AMG84-52,,0,-9999,-9999,-5,-0.5,-10,-10,-9999,-10,-18.59,127.07
PM400099,KIMBERLEY,STMSD,297914,7943655,0,AMG84-52,,0,-9999,-9999,-5,-0.5,-10,-10,-9999,-10,-18.58,127.08
PM400101,KIMBERLEY,STMSD,298625,7943481,0,AMG84-52,,0,-9999,-9999,-5,-0.5,-10,-10,-9999,-10,-18.58,127.09
PM400103,KIMBERLEY,STMSD,299582,7943640,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.58,127.1
PM400104,KIMBERLEY,STMSD,299941,7943693,0,AMG84-52,,0,-9999,-9999,10,-0.5,-10,-10,-9999,-10,-18.58,127.1
PM401835,KIMBERLEY,STMSD,320661,7950547,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.3
PM401836,KIMBERLEY,STMSD,320749,7950272,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.3
PM401837,KIMBERLEY,STMSD,320456,7950374,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.3
PM401838,KIMBERLEY,STMSD,321506,7951106,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.31
PM401839,KIMBERLEY,STMSD,321573,7951365,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.31
PM401840,KIMBERLEY,STMSD,321751,7951294,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.31
PM401841,KIMBERLEY,STMSD,322265,7951500,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.31
PM401842,KIMBERLEY,STMSD,322436,7951659,0,AMG84-52,SE209149,1,-9999,-9999,10,0,-10,75,-9999,-10,-18.51,127.31
PM401843,KIMBERLEY,STMSD,322520,7952382,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.32
PM401844,KIMBERLEY,STMSD,322575,7953174,0,AMG84-52,,1,-9999,-9999,10,0,6,-10,-9999,-10,-18.5,127.32
